Conviction_Points,Geo_Risk,Years_of_Experience,Vehicle_Type,Vehicle_Age,Driver_Age,License_Type,Gender,Normalized_Risk_Score
19,3,40,Motorcycle,7,53,Commercial,Female,0.6237113402
7,7,9,Motorcycle,3,27,Motorcycle,Female,0.3659793814
5,4,34,Car,2,62,Commercial,Male,0.2963917526
8,10,27,Car,8,45,Motorcycle,Male,0.3582474227
11,2,33,Motorcycle,4,48,Commercial,Male,0.4587628866
14,0,13,Car,12,30,Commercial,Male,0.6391752577
0,9,14,Motorcycle,12,32,Motorcycle,Male,0.2654639175
8,2,7,Motorcycle,13,52,Commercial,Female,0.5824742268
19,2,12,Motorcycle,18,52,Motorcycle,Female,0.8273195876
6,9,9,Car,15,30,Commercial,Male,0.5798969072
10,6,46,Motorcycle,8,59,Commercial,Male,0.3840206186
19,8,29,Motorcycle,12,66,Motorcycle,Male,0.7731958763
2,9,12,Motorcycle,7,51,Commercial,Male,0.4793814433
0,1,11,Motorcycle,3,29,Motorcycle,Male,0.04639175258
19,1,35,Motorcycle,2,45,Commercial,Female,0.6365979381
14,1,34,Car,8,40,Commercial,Female,0.4896907216
0,0,1,Car,4,54,Motorcycle,Female,0.3711340206
19,1,17,Car,12,60,Commercial,Female,0.75
6,7,2,Car,12,20,Motorcycle,Female,0.3170103093
1,0,26,Car,13,44,Commercial,Male,0.03350515464
12,6,9,Car,18,20,Commercial,Male,0.7216494845
18,5,16,Car,15,18,Motorcycle,Male,0.8092783505
13,9,3,Motorcycle,8,33,Commercial,Male,0.8324742268
9,8,20,Motorcycle,12,38,Motorcycle,Male,0.4226804124
4,5,22,Car,7,67,Commercial,Female,0.3762886598
17,6,47,Car,3,61,Commercial,Female,0.5309278351
3,8,20,Motorcycle,2,43,Motorcycle,Female,0.4304123711
2,1,24,Motorcycle,8,33,Commercial,Female,0.2835051546
20,4,33,Motorcycle,4,42,Motorcycle,Female,0.7164948454
13,5,20,Motorcycle,12,21,Commercial,Male,0.675257732
15,9,21,Motorcycle,12,26,Commercial,Male,0.7448453608
4,0,36,Motorcycle,13,63,Motorcycle,Male,0.2293814433
9,5,20,Car,18,38,Commercial,Male,0.3350515464
4,6,12,Motorcycle,15,21,Motorcycle,Male,0.5180412371
17,9,26,Car,8,65,Commercial,Female,0.7319587629
18,1,2,Car,12,64,Commercial,Female,0.8402061856
13,1,22,Car,7,37,Motorcycle,Male,0.5567010309
13,3,46,Motorcycle,3,50,Commercial,Male,0.4226804124
2,1,19,Car,2,66,Motorcycle,Male,0.2963917526
3,10,18,Motorcycle,8,63,Commercial,Male,0.4716494845
9,6,34,Car,4,70,Commercial,Male,0.425257732
12,10,6,Car,12,24,Motorcycle,Female,0.6030927835
15,0,3,Car,12,34,Commercial,Female,0.7422680412
2,7,0,Car,13,68,Motorcycle,Female,0.5206185567
19,6,27,Motorcycle,18,68,Commercial,Female,0.7628865979
6,4,7,Motorcycle,15,25,Commercial,Female,0.2396907216
14,9,23,Car,8,41,Motorcycle,Male,0.5
16,2,22,Car,12,38,Commercial,Male,0.6469072165
15,3,3,Motorcycle,7,20,Motorcycle,Male,0.8324742268
8,10,32,Car,3,49,Commercial,Male,0.4664948454
0,6,11,Motorcycle,2,44,Commercial,Male,0.3969072165
10,6,48,Motorcycle,8,64,Motorcycle,Female,0.368556701
11,2,24,Motorcycle,4,24,Commercial,Female,0.5541237113
13,1,28,Car,12,60,Motorcycle,Female,0.5103092784
7,10,13,Car,12,31,Commercial,Female,0.3788659794
6,7,9,Motorcycle,13,66,Commercial,Female,0.5798969072
13,8,2,Motorcycle,18,68,Motorcycle,Male,0.8273195876
15,8,14,Motorcycle,15,48,Commercial,Male,0.7860824742
9,4,10,Motorcycle,8,56,Motorcycle,Male,0.6108247423
6,2,4,Car,12,61,Commercial,Male,0.5283505155
11,9,9,Car,7,55,Commercial,Male,0.7087628866
18,8,45,Motorcycle,3,63,Motorcycle,Female,0.6237113402
7,10,26,Motorcycle,2,66,Commercial,Female,0.5128865979
1,0,43,Car,8,51,Motorcycle,Male,0.07216494845
9,3,8,Car,4,41,Commercial,Male,0.587628866
2,0,4,Motorcycle,12,22,Commercial,Male,0.1958762887
18,5,8,Car,12,26,Motorcycle,Male,0.5979381443
14,7,34,Motorcycle,13,34,Commercial,Male,0.5927835052
5,7,1,Motorcycle,18,19,Motorcycle,Female,0.3092783505
4,4,38,Car,15,69,Commercial,Female,0.2396907216
18,8,27,Car,8,63,Commercial,Female,0.7371134021
14,2,16,Motorcycle,12,34,Motorcycle,Female,0.4201030928
18,9,49,Car,7,56,Commercial,Female,0.5798969072
1,5,19,Motorcycle,3,66,Motorcycle,Male,0.3479381443
12,1,4,Car,2,22,Commercial,Male,0.456185567
0,7,36,Motorcycle,8,69,Commercial,Male,0.2164948454
9,7,10,Motorcycle,4,44,Motorcycle,Male,0.6494845361
16,1,49,Car,12,62,Commercial,Male,0.425257732
2,5,18,Car,12,29,Motorcycle,Female,0.3556701031
8,0,4,Motorcycle,13,23,Commercial,Female,0.6056701031
19,7,24,Motorcycle,18,70,Commercial,Female,0.7989690722
10,8,15,Car,15,56,Motorcycle,Female,0.6237113402
16,4,49,Car,8,61,Commercial,Female,0.4639175258
1,5,30,Motorcycle,12,48,Motorcycle,Male,0.2628865979
0,2,13,Car,7,42,Commercial,Male,0.3041237113
5,0,16,Car,3,29,Commercial,Male,0.3840206186
2,8,40,Car,2,63,Motorcycle,Male,0.2242268041
15,6,17,Motorcycle,8,35,Commercial,Male,0.5206185567
3,5,11,Motorcycle,4,55,Motorcycle,Female,0.4613402062
14,3,5,Car,12,23,Commercial,Female,0.5412371134
5,8,17,Motorcycle,12,44,Commercial,Male,0.5051546392
11,10,6,Car,13,43,Motorcycle,Male,0.7448453608
19,9,24,Motorcycle,18,31,Commercial,Male,0.824742268
6,0,29,Car,15,38,Motorcycle,Male,0.3092783505
20,10,4,Car,8,22,Commercial,Male,0.824742268
6,7,2,Car,12,33,Commercial,Female,0.6082474227
19,2,11,Car,7,53,Motorcycle,Female,0.8092783505
6,10,46,Motorcycle,3,58,Commercial,Female,0.3324742268
2,8,2,Motorcycle,2,20,Motorcycle,Female,0.2757731959
6,7,17,Motorcycle,8,25,Commercial,Female,0.5180412371
5,6,10,Motorcycle,4,28,Commercial,Male,0.3092783505
5,0,9,Car,12,45,Motorcycle,Male,0.4381443299
13,5,13,Car,12,31,Commercial,Male,0.4458762887
9,2,26,Car,13,30,Motorcycle,Male,0.4355670103
4,10,20,Car,18,53,Commercial,Male,0.456185567
13,6,4,Motorcycle,15,29,Commercial,Female,0.7860824742
17,8,0,Motorcycle,8,18,Motorcycle,Female,0.6469072165
3,4,2,Car,12,54,Commercial,Female,0.4922680412
13,0,39,Motorcycle,7,48,Motorcycle,Female,0.4381443299
19,3,19,Motorcycle,3,24,Commercial,Female,0.8118556701
8,10,7,Motorcycle,2,49,Commercial,Male,0.6855670103
13,4,31,Motorcycle,8,66,Motorcycle,Male,0.5515463918
5,1,32,Car,4,60,Commercial,Male,0.2731958763
16,8,4,Car,12,70,Motorcycle,Male,0.8634020619
14,2,27,Car,12,57,Commercial,Male,0.5567010309
5,8,1,Car,13,19,Commercial,Female,0.4510309278
1,9,17,Motorcycle,18,35,Motorcycle,Female,0.2216494845
5,8,8,Car,15,59,Commercial,Male,0.5489690722
6,7,44,Car,8,52,Motorcycle,Male,0.2835051546
12,9,1,Car,12,19,Commercial,Male,0.6288659794
10,3,38,Car,7,56,Commercial,Male,0.381443299
14,6,27,Motorcycle,3,34,Motorcycle,Male,0.6340206186
8,3,12,Motorcycle,2,30,Commercial,Female,0.3865979381
7,7,0,Motorcycle,8,18,Motorcycle,Female,0.368556701
13,7,12,Motorcycle,4,70,Commercial,Female,0.7371134021
5,2,22,Motorcycle,12,40,Commercial,Female,0.1958762887
15,7,8,Car,12,50,Motorcycle,Female,0.793814433
10,8,16,Motorcycle,13,34,Commercial,Male,0.456185567
3,4,45,Motorcycle,18,45,Motorcycle,Male,0.1855670103
10,3,32,Motorcycle,15,52,Commercial,Male,0.4536082474
18,10,0,Motorcycle,8,42,Commercial,Male,0.9974226804
3,0,47,Car,12,52,Motorcycle,Male,0.09278350515
14,2,17,Car,7,20,Commercial,Female,0.6597938144
18,10,12,Motorcycle,3,48,Motorcycle,Female,0.9046391753
5,5,16,Car,2,48,Commercial,Female,0.4484536082
4,4,11,Car,8,23,Commercial,Female,0.4742268041
17,2,15,Motorcycle,4,66,Motorcycle,Female,0.7525773196
5,7,28,Motorcycle,12,42,Commercial,Male,0.4072164948
3,10,0,Car,12,24,Motorcycle,Male,0.6108247423
5,3,13,Car,13,31,Commercial,Male,0.1907216495
8,7,28,Car,18,35,Commercial,Male,0.4587628866
4,3,36,Motorcycle,15,55,Motorcycle,Male,0.2680412371
17,1,18,Motorcycle,8,36,Commercial,Female,0.7164948454
1,4,17,Car,12,37,Motorcycle,Female,0.324742268
18,5,2,Motorcycle,7,20,Commercial,Male,0.7654639175
1,3,40,Car,3,41,Commercial,Male,0.1340206186
14,2,25,Motorcycle,2,35,Motorcycle,Male,0.5979381443
17,1,4,Motorcycle,8,50,Commercial,Male,0.824742268
7,10,10,Car,4,51,Motorcycle,Male,0.6108247423
11,3,33,Car,12,61,Commercial,Female,0.4458762887
14,4,22,Car,12,69,Commercial,Female,0.6211340206
16,4,33,Car,13,36,Motorcycle,Female,0.587628866
20,6,46,Car,18,60,Commercial,Female,0.6159793814
1,9,18,Car,15,51,Motorcycle,Female,0.381443299
17,9,8,Car,8,26,Commercial,Male,0.662371134
12,3,48,Motorcycle,12,59,Commercial,Male,0.381443299
14,7,20,Motorcycle,7,30,Motorcycle,Male,0.7010309278
0,4,5,Motorcycle,3,63,Commercial,Male,0.4175257732
2,0,1,Car,2,19,Motorcycle,Male,0.1855670103
19,10,47,Car,8,47,Commercial,Female,0.6340206186
14,0,13,Car,4,64,Commercial,Female,0.6391752577
18,0,12,Motorcycle,12,30,Motorcycle,Female,0.5592783505
11,0,0,Motorcycle,12,18,Commercial,Female,0.412371134
20,4,30,Car,13,51,Motorcycle,Female,0.7139175258
9,5,11,Car,18,44,Commercial,Male,0.5902061856
14,5,8,Car,15,61,Commercial,Male,0.7422680412
0,9,26,Car,8,57,Motorcycle,Male,0.293814433
12,2,40,Motorcycle,12,48,Commercial,Male,0.4304123711
9,10,31,Motorcycle,7,41,Motorcycle,Male,0.5257731959
18,0,26,Car,3,58,Commercial,Female,0.6417525773
4,7,22,Motorcycle,2,40,Commercial,Female,0.2113402062
7,1,12,Motorcycle,8,30,Motorcycle,Male,0.3118556701
3,9,19,Car,4,20,Commercial,Male,0.4510309278
16,9,31,Motorcycle,12,43,Motorcycle,Male,0.6932989691
12,10,6,Car,12,34,Commercial,Male,0.7706185567
5,0,37,Motorcycle,13,51,Commercial,Male,0.2474226804
20,7,11,Motorcycle,18,38,Motorcycle,Female,0.925257732
13,6,15,Car,15,69,Commercial,Female,0.675257732
16,7,44,Car,8,69,Motorcycle,Female,0.5412371134
13,10,4,Motorcycle,12,32,Commercial,Female,0.837628866
18,9,5,Motorcycle,7,23,Commercial,Female,0.7396907216
19,0,31,Motorcycle,3,49,Motorcycle,Male,0.5077319588
17,9,17,Motorcycle,2,65,Commercial,Male,0.8273195876
7,4,16,Motorcycle,8,34,Motorcycle,Male,0.2963917526
17,8,0,Car,4,18,Commercial,Male,0.7525773196
14,5,12,Motorcycle,12,65,Commercial,Male,0.7371134021
3,2,0,Car,12,64,Motorcycle,Female,0.4819587629
10,5,32,Car,13,40,Commercial,Female,0.4536082474
20,4,6,Motorcycle,18,36,Motorcycle,Female,0.925257732
10,1,35,Motorcycle,15,53,Commercial,Female,0.4046391753
1,0,41,Car,8,46,Commercial,Female,0.08762886598
20,2,11,Car,12,29,Motorcycle,Male,0.6108247423
16,5,19,Motorcycle,7,56,Commercial,Male,0.7345360825
10,4,9,Car,3,27,Motorcycle,Male,0.4175257732
18,2,1,Motorcycle,2,19,Commercial,Male,0.6958762887
20,7,15,Car,8,33,Commercial,Male,0.6597938144
16,3,23,Motorcycle,4,53,Motorcycle,Female,0.6778350515
2,5,25,Motorcycle,12,38,Commercial,Female,0.3273195876
6,10,20,Car,12,44,Motorcycle,Male,0.5077319588
9,6,44,Motorcycle,13,62,Commercial,Male,0.3737113402
2,4,8,Motorcycle,18,30,Commercial,Male,0.4458762887
20,9,38,Car,15,65,Motorcycle,Male,0.7164948454
12,8,22,Motorcycle,8,59,Commercial,Male,0.6469072165
9,0,39,Car,12,60,Motorcycle,Female,0.3092783505
4,10,15,Motorcycle,7,33,Commercial,Female,0.25
4,10,15,Motorcycle,3,70,Commercial,Female,0.5206185567
9,0,4,Motorcycle,2,23,Motorcycle,Female,0.631443299
10,2,11,Motorcycle,8,39,Commercial,Female,0.6030927835
12,6,26,Motorcycle,4,46,Motorcycle,Male,0.5902061856
8,1,11,Car,12,56,Commercial,Male,0.5128865979
1,5,7,Motorcycle,12,25,Commercial,Male,0.293814433
5,9,12,Car,13,37,Motorcycle,Male,0.5309278351
7,5,6,Car,18,24,Commercial,Male,0.4329896907
0,2,0,Car,15,30,Motorcycle,Female,0.4046391753
1,3,5,Car,8,27,Commercial,Female,0.4046391753
3,3,38,Car,12,44,Commercial,Female,0.2010309278
18,3,13,Motorcycle,7,38,Motorcycle,Female,0.8067010309
18,8,22,Motorcycle,3,56,Commercial,Female,0.8015463918
20,5,24,Car,2,54,Motorcycle,Male,0.7731958763
8,9,26,Car,8,49,Commercial,Male,0.5
18,5,5,Motorcycle,4,59,Commercial,Male,0.8943298969
7,1,18,Motorcycle,12,38,Motorcycle,Male,0.4587628866
10,8,16,Motorcycle,12,34,Commercial,Male,0.425257732
18,10,46,Car,13,50,Motorcycle,Female,0.6159793814
3,7,28,Motorcycle,18,45,Commercial,Female,0.3556701031
12,7,3,Car,15,30,Commercial,Male,0.7551546392
19,1,23,Car,8,49,Motorcycle,Male,0.7036082474
13,9,9,Motorcycle,12,65,Commercial,Male,0.7860824742
0,0,5,Motorcycle,7,69,Motorcycle,Male,0.3659793814
10,9,26,Car,3,56,Commercial,Male,0.5515463918
3,4,33,Motorcycle,2,54,Commercial,Female,0.2783505155
6,6,1,Car,8,67,Motorcycle,Female,0.6030927835
3,0,32,Motorcycle,4,41,Commercial,Female,0.2345360825
6,3,20,Motorcycle,12,36,Motorcycle,Female,0.4432989691
19,3,26,Motorcycle,12,44,Commercial,Female,0.5695876289
2,4,27,Motorcycle,13,69,Commercial,Male,0.2989690722
18,10,42,Motorcycle,18,66,Motorcycle,Male,0.6726804124
18,1,12,Motorcycle,15,31,Commercial,Male,0.7886597938
6,10,31,Motorcycle,8,48,Motorcycle,Male,0.4484536082
20,0,45,Car,12,70,Commercial,Male,0.5463917526
11,4,27,Motorcycle,7,33,Commercial,Female,0.5309278351
0,6,3,Car,3,20,Motorcycle,Female,0.4587628866
4,8,20,Motorcycle,2,29,Commercial,Female,0.456185567
13,2,10,Motorcycle,8,22,Motorcycle,Female,0.7139175258
9,1,9,Car,4,25,Commercial,Female,0.5541237113
2,2,5,Car,12,35,Commercial,Male,0.4175257732
1,1,13,Motorcycle,12,37,Motorcycle,Male,0.3427835052
12,0,0,Car,13,18,Commercial,Male,0.4046391753
15,1,17,Car,18,46,Motorcycle,Male,0.6469072165
1,6,45,Car,15,54,Commercial,Male,0.1340206186
12,4,25,Car,8,57,Commercial,Female,0.5463917526
5,4,3,Motorcycle,12,64,Motorcycle,Female,0.5618556701
6,5,0,Motorcycle,7,33,Commercial,Male,0.6237113402
1,9,14,Motorcycle,3,52,Motorcycle,Male,0.4381443299
10,3,14,Motorcycle,2,24,Commercial,Male,0.618556701
6,6,23,Motorcycle,8,63,Commercial,Male,0.4587628866
6,10,6,Car,4,53,Motorcycle,Male,0.6159793814
6,0,15,Car,12,26,Commercial,Female,0.4175257732
6,2,5,Motorcycle,12,31,Motorcycle,Female,0.5463917526
11,0,0,Motorcycle,13,33,Commercial,Female,0.6881443299
18,7,15,Motorcycle,18,33,Commercial,Female,0.6572164948
18,7,7,Car,15,68,Motorcycle,Female,0.8788659794
18,1,17,Motorcycle,8,62,Commercial,Male,0.75
19,4,32,Car,12,45,Motorcycle,Male,0.6726804124
2,9,29,Car,7,37,Commercial,Male,0.3221649485
12,8,0,Car,3,18,Commercial,Male,0.5773195876
9,0,15,Car,2,28,Motorcycle,Male,0.4948453608
19,3,11,Car,8,28,Commercial,Female,0.8221649485
8,10,43,Motorcycle,4,64,Motorcycle,Female,0.4072164948
5,4,31,Car,12,50,Commercial,Female,0.3195876289
20,10,18,Motorcycle,12,22,Commercial,Female,0.9355670103
11,6,3,Car,13,21,Motorcycle,Female,0.4329896907
1,1,38,Motorcycle,18,58,Commercial,Male,0.1494845361
11,3,22,Car,15,27,Motorcycle,Male,0.5309278351
15,3,7,Car,8,18,Commercial,Male,0.7757731959
12,2,35,Car,12,53,Commercial,Male,0.4432989691
15,4,19,Car,7,46,Motorcycle,Male,0.6701030928
12,4,5,Car,3,48,Commercial,Female,0.7010309278
18,10,17,Car,2,35,Motorcycle,Female,0.5927835052
13,4,0,Car,8,23,Commercial,Male,0.7912371134
12,9,43,Motorcycle,4,51,Commercial,Male,0.4974226804
9,5,1,Motorcycle,12,61,Motorcycle,Male,0.6932989691
6,8,50,Motorcycle,12,63,Commercial,Male,0.2757731959
4,3,14,Car,13,23,Motorcycle,Male,0.4381443299
16,6,18,Motorcycle,18,42,Commercial,Female,0.7551546392
8,5,41,Car,15,65,Commercial,Female,0.3324742268
5,3,6,Motorcycle,8,39,Motorcycle,Female,0.5257731959
15,3,13,Car,12,31,Commercial,Female,0.5257731959
5,7,23,Car,7,41,Motorcycle,Female,0.2654639175
5,0,49,Car,3,52,Commercial,Male,0.1288659794
17,9,32,Motorcycle,2,47,Commercial,Male,0.7113402062
0,7,11,Car,8,29,Motorcycle,Male,0.3840206186
16,10,23,Car,4,29,Commercial,Male,0.7422680412
16,4,24,Car,12,39,Motorcycle,Male,0.6572164948
0,0,27,Motorcycle,12,45,Commercial,Female,0.01804123711
10,10,8,Motorcycle,13,63,Commercial,Female,0.7293814433
12,5,19,Motorcycle,18,61,Motorcycle,Female,0.631443299
0,10,2,Car,15,20,Commercial,Female,0.5180412371
7,3,50,Car,8,59,Motorcycle,Female,0.2113402062
19,6,7,Car,12,25,Commercial,Male,0.7293814433
5,7,15,Car,7,33,Commercial,Male,0.3041237113
4,0,0,Car,3,18,Motorcycle,Male,0.1520618557
19,3,43,Motorcycle,2,48,Commercial,Male,0.6005154639
4,2,33,Car,8,65,Motorcycle,Male,0.2525773196
5,0,13,Car,4,60,Commercial,Female,0.4072164948
12,7,45,Motorcycle,12,56,Commercial,Female,0.456185567
17,0,33,Motorcycle,12,67,Motorcycle,Male,0.587628866
19,7,10,Car,13,30,Commercial,Male,0.881443299
12,2,23,Car,18,34,Motorcycle,Male,0.5360824742
6,0,13,Car,15,47,Commercial,Male,0.4329896907
7,2,23,Motorcycle,8,41,Commercial,Male,0.2551546392
20,6,7,Motorcycle,12,25,Motorcycle,Female,0.7654639175
16,0,0,Motorcycle,7,64,Commercial,Female,0.8170103093
0,8,4,Motorcycle,3,22,Motorcycle,Female,0.2010309278
15,3,7,Car,2,49,Commercial,Female,0.75
10,10,3,Motorcycle,8,50,Commercial,Female,0.7680412371
3,3,3,Motorcycle,4,21,Motorcycle,Male,0.1907216495
3,6,0,Car,12,55,Commercial,Male,0.5335051546
16,6,31,Motorcycle,12,32,Motorcycle,Male,0.6546391753
16,6,8,Motorcycle,13,20,Commercial,Male,0.8582474227
9,4,3,Car,18,34,Commercial,Male,0.6391752577
20,10,11,Car,15,49,Motorcycle,Female,0.9381443299
20,2,23,Car,8,69,Commercial,Female,0.7422680412
5,5,20,Motorcycle,12,41,Motorcycle,Female,0.4432989691
16,4,1,Motorcycle,7,43,Commercial,Female,0.8608247423
17,10,6,Motorcycle,3,45,Commercial,Female,0.925257732
9,2,46,Car,2,47,Motorcycle,Male,0.2809278351
12,0,4,Motorcycle,8,41,Commercial,Male,0.6829896907
15,9,12,Car,4,30,Motorcycle,Male,0.5567010309
6,1,35,Car,12,55,Commercial,Male,0.2757731959
14,10,47,Motorcycle,12,58,Commercial,Male,0.5309278351
1,5,22,Motorcycle,13,57,Motorcycle,Female,0.324742268
4,9,30,Motorcycle,18,68,Commercial,Female,0.3917525773
16,5,12,Car,15,30,Motorcycle,Male,0.5618556701
4,8,11,Motorcycle,8,53,Commercial,Male,0.5257731959
7,4,0,Motorcycle,12,18,Commercial,Male,0.3994845361
14,9,3,Car,7,48,Motorcycle,Male,0.8324742268
7,0,17,Car,3,35,Commercial,Male,0.1804123711
2,6,42,Car,2,68,Motorcycle,Female,0.1829896907
16,1,0,Motorcycle,8,46,Commercial,Female,0.8298969072
15,1,6,Car,4,66,Commercial,Female,0.7319587629
15,3,9,Motorcycle,12,27,Motorcycle,Female,0.574742268
18,0,2,Car,12,20,Commercial,Female,0.6443298969
11,3,21,Car,13,53,Motorcycle,Male,0.5386597938
14,1,14,Car,18,28,Commercial,Male,0.6443298969
7,3,22,Motorcycle,15,46,Commercial,Male,0.4536082474
2,1,27,Car,8,59,Motorcycle,Male,0.2345360825
17,4,3,Motorcycle,12,20,Commercial,Male,0.8969072165
3,7,8,Motorcycle,7,26,Motorcycle,Female,0.1932989691
7,10,30,Motorcycle,3,62,Commercial,Female,0.4819587629
13,6,16,Car,2,34,Commercial,Female,0.4896907216
16,4,26,Motorcycle,8,44,Motorcycle,Female,0.5128865979
5,5,23,Car,4,36,Commercial,Female,0.3943298969
4,6,24,Car,12,54,Motorcycle,Male,0.3737113402
13,0,20,Motorcycle,12,38,Commercial,Male,0.4072164948
5,4,13,Car,13,60,Commercial,Male,0.4587628866
19,9,13,Motorcycle,18,31,Motorcycle,Male,0.7628865979
11,3,13,Motorcycle,15,31,Commercial,Male,0.4793814433
8,7,14,Car,8,32,Motorcycle,Female,0.2886597938
0,0,49,Car,12,50,Commercial,Female,0
17,0,25,Car,7,29,Commercial,Male,0.6237113402
5,8,9,Car,3,65,Motorcycle,Male,0.5412371134
4,3,37,Car,2,66,Commercial,Male,0.2345360825
1,6,8,Motorcycle,8,26,Motorcycle,Male,0.1675257732
5,5,17,Motorcycle,4,67,Commercial,Male,0.4664948454
16,7,23,Car,12,62,Commercial,Female,0.7036082474
6,3,35,Motorcycle,12,58,Motorcycle,Female,0.3273195876
8,2,35,Motorcycle,13,66,Commercial,Female,0.3659793814
19,8,34,Car,18,52,Motorcycle,Female,0.7087628866
4,1,20,Motorcycle,15,55,Commercial,Female,0.3659793814
20,3,5,Motorcycle,8,53,Commercial,Male,0.9201030928
10,8,20,Motorcycle,12,63,Motorcycle,Male,0.6108247423
10,3,6,Motorcycle,7,58,Commercial,Male,0.6546391753
3,5,8,Motorcycle,3,28,Motorcycle,Male,0.4845360825
5,1,0,Motorcycle,2,65,Commercial,Male,0.5463917526
9,2,23,Motorcycle,8,41,Commercial,Female,0.3221649485
8,10,25,Motorcycle,4,56,Motorcycle,Female,0.5463917526
17,6,4,Motorcycle,12,22,Commercial,Female,0.6520618557
19,3,7,Motorcycle,12,70,Motorcycle,Female,0.8788659794
8,2,9,Motorcycle,13,65,Commercial,Female,0.5670103093
10,5,6,Motorcycle,18,44,Commercial,Male,0.6804123711
1,3,7,Car,15,25,Motorcycle,Male,0.2190721649
14,5,5,Car,8,70,Commercial,Male,0.7654639175
5,1,36,Car,12,69,Motorcycle,Male,0.2422680412
16,9,29,Motorcycle,7,44,Commercial,Male,0.7087628866
3,10,39,Motorcycle,3,43,Commercial,Female,0.3092783505
7,1,19,Car,2,59,Motorcycle,Female,0.425257732
1,10,20,Motorcycle,8,38,Commercial,Male,0.1958762887
8,5,22,Motorcycle,4,49,Motorcycle,Male,0.5051546392
0,9,3,Car,12,64,Commercial,Male,0.4716494845
5,10,7,Motorcycle,12,20,Commercial,Male,0.6340206186
15,8,4,Motorcycle,13,22,Motorcycle,Male,0.6958762887
6,9,20,Motorcycle,18,48,Commercial,Female,0.5206185567
15,3,8,Motorcycle,15,46,Motorcycle,Female,0.7680412371
5,2,18,Motorcycle,8,31,Commercial,Female,0.4201030928
9,2,22,Car,12,43,Commercial,Female,0.4664948454
17,4,22,Motorcycle,7,47,Motorcycle,Female,0.7242268041
16,7,21,Motorcycle,3,67,Commercial,Male,0.7448453608
16,8,18,Motorcycle,2,36,Motorcycle,Male,0.5644329897
11,8,39,Motorcycle,8,40,Commercial,Male,0.4896907216
14,5,4,Motorcycle,4,22,Commercial,Male,0.5927835052
5,5,34,Motorcycle,12,68,Motorcycle,Male,0.3350515464
19,3,16,Motorcycle,12,69,Commercial,Female,0.8092783505
15,10,13,Car,13,63,Motorcycle,Female,0.793814433
13,7,28,Motorcycle,18,50,Commercial,Female,0.6134020619
11,6,13,Car,15,57,Commercial,Female,0.6391752577
11,0,33,Car,8,35,Motorcycle,Female,0.4072164948
1,8,2,Car,12,20,Commercial,Male,0.3324742268
7,5,13,Car,7,46,Motorcycle,Male,0.5231958763
16,5,10,Car,3,45,Commercial,Male,0.7783505155
7,3,23,Motorcycle,2,32,Commercial,Male,0.4458762887
15,8,21,Motorcycle,8,38,Motorcycle,Male,0.7319587629
0,9,27,Car,4,50,Commercial,Female,0.2860824742
4,9,24,Motorcycle,12,42,Motorcycle,Female,0.2757731959
18,7,21,Car,12,29,Commercial,Male,0.7706185567
2,4,31,Car,13,32,Commercial,Male,0.2422680412
8,7,14,Car,18,32,Motorcycle,Male,0.381443299
10,1,18,Motorcycle,15,63,Commercial,Male,0.5360824742
5,3,27,Motorcycle,8,62,Motorcycle,Male,0.3634020619
6,5,26,Car,12,54,Commercial,Female,0.3969072165
6,10,23,Car,7,26,Commercial,Female,0.4845360825
4,8,7,Motorcycle,3,63,Motorcycle,Female,0.5567010309
1,9,13,Car,2,43,Commercial,Female,0.4201030928
4,5,20,Car,8,67,Motorcycle,Female,0.3917525773
5,8,30,Car,4,67,Commercial,Male,0.3788659794
5,7,35,Car,12,41,Commercial,Male,0.3273195876
6,3,10,Motorcycle,12,58,Motorcycle,Male,0.5206185567
3,5,9,Car,13,27,Commercial,Male,0.25
17,9,5,Motorcycle,18,69,Motorcycle,Male,0.9201030928
15,6,37,Car,15,58,Commercial,Female,0.5567010309
20,10,22,Motorcycle,8,63,Commercial,Female,0.8788659794
18,5,33,Car,12,43,Motorcycle,Female,0.6520618557
9,3,18,Motorcycle,7,28,Commercial,Female,0.5360824742
4,2,0,Car,3,70,Motorcycle,Female,0.5077319588
17,3,31,Car,2,33,Commercial,Male,0.6159793814
2,9,44,Car,8,58,Commercial,Male,0.206185567
19,1,30,Motorcycle,4,57,Motorcycle,Male,0.675257732
3,6,45,Car,12,56,Commercial,Male,0.1855670103
13,9,2,Motorcycle,12,22,Motorcycle,Male,0.8659793814
11,3,21,Car,13,51,Commercial,Female,0.5386597938
13,7,18,Motorcycle,18,28,Commercial,Female,0.6907216495
4,7,16,Motorcycle,15,52,Motorcycle,Male,0.4742268041
17,5,2,Motorcycle,8,20,Commercial,Male,0.662371134
6,2,12,Car,12,65,Motorcycle,Male,0.4664948454
15,1,8,Motorcycle,7,22,Commercial,Male,0.7680412371
2,10,26,Car,3,54,Commercial,Male,0.3582474227
20,7,35,Motorcycle,2,52,Motorcycle,Female,0.7396907216
10,5,9,Car,8,52,Commercial,Female,0.631443299
17,0,31,Motorcycle,4,36,Motorcycle,Female,0.6030927835
5,3,44,Motorcycle,12,62,Commercial,Female,0.2319587629
20,7,5,Motorcycle,12,23,Commercial,Female,0.6572164948
4,1,43,Motorcycle,13,45,Motorcycle,Male,0.1881443299
4,0,19,Car,18,37,Commercial,Male,0.118556701
